animal_id_outcome,outcome_type
A723836,Return to Owner
A723837,Return to Owner
A723837,Adoption
A723838,Adoption
A723843,Adoption
A723843,Return to Owner
A723844,Euthanasia
A723845,Transfer
A723846,Return to Owner
A723846,Adoption
A723847,Adoption
A723848,Transfer
A723851,Return to Owner
A723852,Transfer
A723855,Euthanasia
A723858,Adoption
A723859,Return to Owner
A723861,Transfer
A723862,Return to Owner
A723863,Euthanasia
A723866,Adoption
A723867,Return to Owner
A723867,Adoption
A723868,Transfer
A723868,Adoption
A723869,Transfer
A723870,Transfer
A723872,Adoption
A723873,Transfer
A723874,Transfer
A723875,Transfer
A723876,Transfer
A723877,Adoption
A723879,Adoption
A723881,Adoption
A723885,Transfer
A723885,Transfer
A723885,Adoption
A723886,Transfer
A723890,Adoption
A723891,Adoption
A723892,Adoption
A723894,Adoption
A723895,Adoption
A723896,Transfer
A723898,Adoption
A723899,Adoption
A723900,Adoption
A723900,Adoption
A723905,Transfer
A723906,Adoption
A723907,Adoption
A723908,Adoption
A723909,Euthanasia
A723911,Adoption
A723912,Adoption
A723913,Adoption
A723914,Adoption
A723915,Return to Owner
A723918,Euthanasia
A723922,Adoption
A723925,Adoption
A723926,Transfer
A723927,Transfer
A723929,Transfer
A723930,Transfer
A723931,Transfer
A723932,Transfer
A723933,Transfer
A723934,Transfer
A723935,Adoption
A723936,Transfer
A723937,Euthanasia
A723938,Adoption
A723939,Transfer
A723940,Adoption
A723941,Adoption
A723942,Return to Owner
A723943,Adoption
A723944,Return to Owner
A723945,Adoption
A723945,Adoption
A723945,Adoption
A723950,Return to Owner
A723951,Return to Owner
A723952,Adoption
A723955,Adoption
A723956,Return to Owner
A723959,Adoption
A723960,Transfer
A723962,Transfer
A723962,Adoption
A723963,Adoption
A723964,Adoption
A723965,Adoption
A723966,Adoption
A723967,Transfer
A723968,Return to Owner
A723969,Return to Owner
A723972,Adoption
A723974,Adoption
A723978,Adoption
A723979,Transfer
A723980,Adoption
A723981,Return to Owner
A723985,Return to Owner
A723986,Adoption
A723987,Adoption
A723989,Adoption
A723990,Adoption
A723990,Adoption
A723991,Adoption
A723992,Adoption
A723993,Return to Owner
A723994,Adoption
A723995,Return to Owner
A723996,Euthanasia
A723997,Adoption
A723998,Adoption
A724000,Return to Owner
A724000,Adoption
A724001,Adoption
A724003,Adoption
A724005,Transfer
A724006,Adoption
A724011,Transfer
A724012,Transfer
A724013,Transfer
A724014,Transfer
A724015,Adoption
A724016,Adoption
A724021,Adoption
A724022,Return to Owner
A724022,Return to Owner
A724022,Return to Owner
A724024,Adoption
A724028,Adoption
A724029,Adoption
A724030,Adoption
A724032,Return to Owner
A724038,Adoption
A724039,Adoption
A724043,Euthanasia
A724045,Adoption
A724046,Return to Owner
A724047,Return to Owner
A724048,Adoption
A724049,Adoption
A724050,Adoption
A724051,Adoption
A724052,Transfer
A724053,Adoption
A724054,Adoption
A724055,Adoption
A724056,Adoption
A724057,Adoption
A724058,Adoption
A724059,Adoption
A724060,Adoption
A724061,Adoption
A724062,Adoption
A724063,Adoption
A724064,Adoption
A724065,Adoption
A724066,Return to Owner
A724067,Return to Owner
A724068,Return to Owner
A724071,Euthanasia
A724073,Adoption
A724074,Adoption
A724076,Return to Owner
A724076,Return to Owner
A724076,Return to Owner
A724076,Return to Owner
A724076,Return to Owner
A724077,Adoption
A724077,Adoption
A724077,Adoption
A724080,Transfer
A724081,Transfer
A724083,Transfer
A724084,Adoption
A724086,Adoption
A724086,Adoption
A724087,Transfer
A724088,Transfer
A724089,Adoption
A724091,Transfer
A724092,Transfer
A724093,Adoption
A724094,Transfer
A724095,Adoption
A724095,Return to Owner
A724096,Adoption
A724099,Transfer
A724102,Transfer
A724104,Return to Owner
A724108,Transfer
A724110,Transfer
A724111,Return to Owner
A724111,Adoption
A724111,Return to Owner
A724112,Adoption
A724112,Adoption
A724113,Transfer
A724114,Adoption
A724117,Adoption
A724117,Adoption
A724118,Adoption
A724119,Adoption
A724120,Adoption
A724120,Adoption
A724121,Transfer
A724122,Transfer
A724123,Transfer
A724124,Adoption
A724125,Adoption
A724125,Adoption
A724127,Adoption
A724128,Transfer
A724129,Transfer
A724131,Adoption
A724134,Return to Owner
A724137,Return to Owner
A724138,Adoption
A724140,Adoption
A724141,Adoption
A724142,Adoption
A724143,Adoption
A724144,Adoption
A724148,Transfer
A724151,Transfer
A724152,Transfer
A724157,Return to Owner
A724158,Transfer
A724159,Transfer
A724160,Transfer
A724161,Transfer
A724162,Transfer
A724163,Euthanasia
A724166,Transfer
A724169,Adoption
A724169,Return to Owner
A724170,Transfer
A724171,Transfer
A724172,Transfer
A724173,Transfer
A724174,Transfer
A724176,Euthanasia
A724177,Return to Owner
A724177,Return to Owner
A724179,Return to Owner
A724180,Adoption
A724181,Adoption
A724181,Adoption
A724182,Adoption
A724187,Adoption
A724188,Transfer
A724189,Transfer
A724191,Return to Owner
A724192,Transfer
A724193,Adoption
A724194,Return to Owner
A724195,Adoption
A724196,Return to Owner
A724198,Return to Owner
A724199,Return to Owner
A724201,Return to Owner
A724202,Return to Owner
A724203,Adoption
A724203,Transfer
A724204,Adoption
A724205,Adoption
A724206,Adoption
A724207,Adoption
A724208,Adoption
A724209,Transfer
A724210,Transfer
A724211,Transfer
A724212,Transfer
A724213,Euthanasia
A724214,Adoption
A724217,Transfer
A724223,Return to Owner
A724224,Adoption
A724225,Adoption
A724226,Adoption
A724227,Adoption
A724228,Adoption
A724229,Adoption
A724231,Transfer
A724234,Euthanasia
A724235,Euthanasia
A724237,Adoption
A724238,Transfer
A724239,Transfer
A724240,Adoption
A724241,Adoption
A724242,Transfer
A724243,Adoption
A724243,Adoption
A724244,Transfer
A724245,Transfer
A724246,Transfer
A724248,Adoption
A724249,Return to Owner
A724249,Return to Owner
A724250,Adoption
A724259,Adoption
A724260,Adoption
A724261,Adoption
A724262,Adoption
A724264,Euthanasia
A724266,Adoption
A724267,Return to Owner
A724267,Return to Owner
A724268,Adoption
A724268,Adoption
A724268,Adoption
A724269,Adoption
A724270,Adoption
A724270,Adoption
A724271,Adoption
A724272,Adoption
A724273,Adoption
A724276,Adoption
A724277,Return to Owner
A724281,Adoption
A724281,Adoption
A724281,Adoption
A724285,Adoption
A724286,Return to Owner
A724286,Return to Owner
A724287,Transfer
A724288,Euthanasia
A724289,Adoption
A724301,Return to Owner
A724309,Return to Owner
A724310,Adoption
A724311,Return to Owner
A724311,Return to Owner
A724311,Return to Owner
A724312,Transfer
A724316,Adoption
A724317,Adoption
A724319,Adoption
A724320,Adoption
A724321,Adoption
A724322,Return to Owner
A724323,Adoption
A724324,Transfer
A724325,Adoption
A724326,Adoption
A724327,Adoption
A724328,Transfer
A724329,Adoption
A724330,Return to Owner
A724334,Return to Owner
A724337,Adoption
A724341,Adoption
A724344,Adoption
A724345,Transfer
A724346,Transfer
A724348,Euthanasia
A724349,Euthanasia
A724350,Euthanasia
A724351,Euthanasia
A724352,Euthanasia
A724353,Euthanasia
A724354,Euthanasia
A724355,Euthanasia
A724358,Transfer
A724359,Adoption
A724359,Adoption
A724359,Adoption
A724360,Return to Owner
A724364,Return to Owner
A724365,Adoption
A724366,Adoption
A724367,Transfer
A724370,Return to Owner
A724371,Transfer
A724372,Return to Owner
A724373,Transfer
A724375,Transfer
A724376,Adoption
A724377,Transfer
A724377,Adoption
A724378,Return to Owner
A724379,Adoption
A724380,Adoption
A724381,Return to Owner
A724385,Return to Owner
A724387,Adoption
A724389,Return to Owner
A724401,Return to Owner
A724402,Return to Owner
A724403,Return to Owner
A724404,Adoption
A724409,Adoption
A724424,Adoption
A724425,Transfer
A724428,Return to Owner
A724428,Return to Owner
A724429,Adoption
A724430,Transfer
A724431,Adoption
A724432,Adoption
A724433,Adoption
A724434,Adoption
A724435,Transfer
A724436,Adoption
A724437,Adoption
A724439,Transfer
A724440,Transfer
A724441,Adoption
A724442,Transfer
A724443,Transfer
A724444,Transfer
A724445,Transfer
A724446,Adoption
A724447,Transfer
A724449,Adoption
A724452,Return to Owner
A724453,Adoption
A724453,Adoption
A724456,Return to Owner
A724459,Return to Owner
A724460,Adoption
A724462,Transfer
A724463,Transfer
A724464,Transfer
A724467,Transfer
A724469,Adoption
A724471,Transfer
A724472,Transfer
A724473,Transfer
A724474,Transfer
A724475,Transfer
A724476,Adoption
A724478,Adoption
A724479,Return to Owner
A724481,Return to Owner
A724481,Return to Owner
A724483,Return to Owner
A724485,Transfer
A724486,Return to Owner
A724489,Return to Owner
A724490,Adoption
A724491,Return to Owner
A724492,Adoption
A724493,Return to Owner
A724494,Return to Owner
A724495,Transfer
A724497,Return to Owner
A724498,Transfer
A724498,Adoption
A724499,Adoption
A724500,Transfer
A724501,Transfer
A724502,Adoption
A724504,Adoption
A724505,Adoption
A724506,Transfer
A724508,Adoption
A724509,Adoption
A724509,Return to Owner
A724510,Return to Owner
A724512,Adoption
A724512,Return to Owner
A724514,Transfer
A724521,Transfer
A724523,Adoption
A724524,Return to Owner
A724525,Return to Owner
A724526,Transfer
A724527,Transfer
A724535,Transfer
A724536,Transfer
A724537,Transfer
A724540,Return to Owner
A724545,Return to Owner
A724545,Return to Owner
A724545,Return to Owner
A724553,Return to Owner
A724553,Adoption
A724563,Adoption
A724564,Adoption
A724565,Adoption
A724568,Adoption
A724571,Return to Owner
A724575,Adoption
A724580,Transfer
A724581,Transfer
A724582,Adoption
A724583,Adoption
A724584,Adoption
A724585,Adoption
A724586,Transfer
A724592,Return to Owner
A724592,Return to Owner
A724592,Return to Owner
A724594,Transfer
A724595,Transfer
A724596,Transfer
A724597,Transfer
A724598,Transfer
A724599,Transfer
A724600,Transfer
A724601,Transfer
A724602,Transfer
A724603,Transfer
A724604,Return to Owner
A724609,Adoption
A724610,Adoption
A724611,Transfer
A724611,Transfer
A724612,Adoption
A724613,Return to Owner
A724614,Adoption
A724615,Return to Owner
A724621,Return to Owner
A724626,Transfer
A724628,Euthanasia
A724629,Adoption
A724632,Adoption
A724633,Transfer
A724634,Return to Owner
A724636,Adoption
A724636,Adoption
A724637,Transfer
A724638,Return to Owner
A724640,Transfer
A724641,Adoption
A724642,Return to Owner
A724643,Return to Owner
A724643,Return to Owner
A724644,Return to Owner
A724646,Return to Owner
A724647,Adoption
A724648,Adoption
A724648,Return to Owner
A724649,Return to Owner
A724650,Adoption
A724651,Adoption
A724652,Transfer
A724653,Transfer
A724654,Transfer
A724655,Adoption
A724656,Transfer
A724657,Adoption
A724657,Return to Owner
A724657,Adoption
A724658,Euthanasia
A724662,Adoption
A724663,Return to Owner
A724664,Adoption
A724665,Adoption
A724666,Adoption
A724668,Transfer
A724669,Transfer
A724671,Transfer
A724672,Transfer
A724673,Adoption
A724674,Return to Owner
A724675,Adoption
A724675,Adoption
A724676,Adoption
A724677,Adoption
A724678,Adoption
A724679,Adoption
A724680,Adoption
A724681,Adoption
A724682,Return to Owner
A724684,Transfer
A724686,Adoption
A724687,Adoption
A724688,Adoption
A724690,Euthanasia
A724691,Transfer
A724692,Adoption
A724695,Return to Owner
A724696,Transfer
A724697,Transfer
A724700,Adoption
A724701,Transfer
A724702,Transfer
A724704,Adoption
A724704,Adoption
A724705,Adoption
A724706,Adoption
A724707,Transfer
A724708,Adoption
A724709,Transfer
A724716,Transfer
A724719,Euthanasia
A724727,Transfer
A724728,Transfer
A724729,Return to Owner
A724731,Adoption
A724732,Adoption
A724735,Return to Owner
A724736,Adoption
A724738,Adoption
A724739,Adoption
A724740,Adoption
A724741,Adoption
A724742,Transfer
A724743,Transfer
A724744,Transfer
A724745,Adoption
A724746,Euthanasia
A724747,Return to Owner
A724748,Adoption
A724749,Adoption
A724750,Adoption
A724751,Adoption
A724752,Adoption
A724753,Adoption
A724754,Adoption
A724755,Transfer
A724756,Transfer
A724757,Transfer
A724758,Return to Owner
A724760,Return to Owner
A724761,Return to Owner
A724761,Return to Owner
A724761,Return to Owner
A724762,Transfer
A724763,Adoption
A724764,Return to Owner
A724764,Return to Owner
A724764,Return to Owner
A724765,Adoption
A724766,Return to Owner
A724767,Adoption
A724768,Adoption
A724769,Adoption
A724770,Adoption
A724773,Adoption
A724773,Adoption
A724775,Return to Owner
A724775,Adoption
A724776,Transfer
A724777,Euthanasia
A724778,Adoption
A724782,Transfer
A724784,Transfer
A724785,Transfer
A724786,Transfer
A724787,Transfer
A724788,Transfer
A724789,Transfer
A724790,Transfer
A724791,Transfer
A724801,Return to Owner
A724802,Return to Owner
A724805,Transfer
A724806,Transfer
A724807,Adoption
A724808,Adoption
A724809,Adoption
A724810,Adoption
A724811,Adoption
A724812,Adoption
A724813,Return to Owner
A724814,Adoption
A724816,Adoption
A724816,Adoption
A724817,Adoption
A724818,Adoption
A724819,Adoption
A724820,Adoption
A724821,Transfer
A724822,Adoption
A724823,Return to Owner
A724823,Return to Owner
A724824,Return to Owner
A724825,Adoption
A724826,Adoption
A724827,Adoption
A724828,Adoption
A724828,Adoption
A724829,Adoption
A724830,Transfer
A724832,Adoption
A724834,Transfer
A724835,Transfer
A724843,Transfer
A724844,Transfer
A724845,Euthanasia
A724846,Euthanasia
A724848,Adoption
A724849,Return to Owner
A724851,Adoption
A724853,Euthanasia
A724856,Transfer
A724857,Return to Owner
A724859,Return to Owner
A724860,Adoption
A724861,Adoption
A724862,Adoption
A724864,Return to Owner
A724865,Transfer
A724866,Transfer
A724878,Adoption
A724879,Return to Owner
A724881,Adoption
A724882,Adoption
A724883,Adoption
A724884,Adoption
A724888,Return to Owner
A724890,Transfer
A724892,Transfer
A724893,Return to Owner
A724895,Transfer
A724896,Transfer
A724897,Transfer
A724898,Transfer
A724899,Adoption
A724901,Transfer
A724902,Adoption
A724902,Adoption
A724903,Transfer
A724904,Adoption
A724905,Adoption
A724906,Adoption
A724909,Return to Owner
A724910,Return to Owner
A724910,Adoption
A724912,Adoption
A724912,Adoption
A724912,Adoption
A724915,Euthanasia
A724917,Adoption
A724918,Adoption
A724918,Adoption
A724929,Adoption
A724929,Adoption
A724931,Adoption
A724933,Return to Owner
A724935,Transfer
A724936,Transfer
A724937,Transfer
A724938,Transfer
A724942,Transfer
A724943,Transfer
A724944,Transfer
A724947,Return to Owner
A724947,Return to Owner
A724948,Adoption
A724949,Adoption
A724950,Adoption
A724951,Adoption
A724952,Transfer
A724953,Adoption
A724954,Transfer
A724955,Return to Owner
A724956,Transfer
A724958,Euthanasia
A724959,Transfer
A724960,Transfer
A724961,Adoption
A724962,Transfer
A724963,Return to Owner
A724964,Adoption
A724965,Euthanasia
A724966,Adoption
A724967,Adoption
A724970,Transfer
A724971,Transfer
A724972,Return to Owner
A724973,Adoption
A724975,Transfer
A724976,Adoption
A724977,Return to Owner
A724978,Adoption
A724979,Adoption
A724980,Adoption
A724981,Adoption
A724984,Adoption
A724985,Adoption
A724986,Adoption
A724987,Adoption
A724988,Adoption
A724989,Adoption
A724992,Euthanasia
A724993,Euthanasia
A724994,Transfer
A724995,Transfer
A724999,Adoption
A725000,Adoption
A725002,Transfer
A725003,Adoption
A725003,Adoption
A725004,Return to Owner
A725006,Transfer
A725008,Return to Owner
A725009,Return to Owner
A725010,Return to Owner
A725011,Return to Owner
A725012,Transfer
A725013,Adoption
A725013,Return to Owner
A725013,Return to Owner
A725014,Transfer
A725015,Adoption
A725016,Return to Owner
A725017,Return to Owner
A725018,Adoption
A725021,Adoption
A725022,Euthanasia
A725023,Adoption
A725026,Adoption
A725027,Adoption
A725029,Adoption
A725030,Adoption
A725031,Return to Owner
A725032,Return to Owner
A725034,Euthanasia
A725035,Euthanasia
A725037,Adoption
A725044,Return to Owner
A725047,Return to Owner
A725048,Adoption
A725050,Euthanasia
A725051,Transfer
A725052,Transfer
A725053,Transfer
A725054,Transfer
A725055,Adoption
A725056,Adoption
A725058,Euthanasia
A725059,Euthanasia
A725061,Return to Owner
A725062,Return to Owner
A725063,Euthanasia
A725064,Adoption
A725065,Return to Owner
A725065,Return to Owner
A725066,Return to Owner
A725067,Return to Owner
A725070,Adoption
A725071,Return to Owner
A725071,Return to Owner
A725072,Euthanasia
A725073,Adoption
A725074,Adoption
A725075,Adoption
A725076,Adoption
A725079,Return to Owner
A725080,Adoption
A725081,Return to Owner
A725082,Return to Owner
A725085,Transfer
A725086,Adoption
A725086,Adoption
A725087,Adoption
A725088,Transfer
A725089,Transfer
A725090,Transfer
A725091,Adoption
A725092,Transfer
A725093,Transfer
A725094,Adoption
A725095,Adoption
A725102,Transfer
A725103,Transfer
A725104,Transfer
A725110,Adoption
A725115,Transfer
A725123,Adoption
A725124,Adoption
A725125,Adoption
A725126,Adoption
A725128,Adoption
A725130,Return to Owner
A725133,Transfer
A725135,Adoption
A725137,Adoption
A725138,Adoption
A725140,Return to Owner
A725141,Adoption
A725141,Return to Owner
A725141,Adoption
A725142,Return to Owner
A725142,Adoption
A725143,Adoption
A725144,Transfer
A725145,Transfer
A725146,Transfer
A725147,Transfer
A725148,Transfer
A725149,Adoption
A725150,Adoption
A725151,Adoption
A725152,Adoption
A725153,Adoption
A725154,Transfer
A725155,Return to Owner
A725156,Adoption
A725157,Adoption
A725158,Transfer
A725159,Adoption
A725160,Adoption
A725161,Adoption
A725162,Return to Owner
A725163,Transfer
A725164,Adoption
A725166,Transfer
A725167,Adoption
A725168,Adoption
A725169,Transfer
A725170,Adoption
A725171,Adoption
A725172,Adoption
A725175,Return to Owner
A725181,Transfer
A725186,Adoption
A725187,Transfer
A725193,Return to Owner
A725194,Return to Owner
A725200,Return to Owner
A725207,Adoption
A725216,Return to Owner
A725217,Euthanasia
A725231,Return to Owner
A725235,Adoption
A725240,Adoption
A725241,Transfer
A725242,Transfer
A725243,Transfer
A725244,Transfer
A725245,Return to Owner
A725245,Return to Owner
A725246,Transfer
A725247,Euthanasia
A725249,Return to Owner
A725252,Adoption
A725254,Adoption
A725256,Transfer
A725257,Return to Owner
A725258,Adoption
A725259,Adoption
A725259,Adoption
A725260,Adoption
A725261,Adoption
A725262,Return to Owner
A725263,Adoption
A725264,Adoption
A725265,Transfer
A725266,Transfer
A725269,Transfer
A725271,Adoption
A725272,Adoption
A725272,Adoption
A725273,Transfer
A725274,Adoption
A725275,Adoption
A725276,Return to Owner
A725278,Adoption
A725279,Adoption
A725280,Transfer
